fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,JOIN_KEY,GISJOIN,WHITE,BLACK,TOTPOP,POC
550,"17","031","834600","17031834600","8346",Census Tract 8346,G5020,S,1562221,0,"+41.7872463",-087.6343057,"17031834600",G17031834600,21,2056,2357,2336
551,"17","031","843600","17031843600","8436",Census Tract 8436,G5020,S,410895,0,"+41.8067653",-087.6089488,"17031843600",G17031843600,99,2706,3089,2990
589,"17","031","836300","17031836300","8363",Census Tract 8363,G5020,S,137523,0,"+41.8015324",-087.6017585,"17031836300",G17031836300,477,701,1492,1015
590,"17","031","834500","17031834500","8345",Census Tract 8345,G5020,S,464133,0,"+41.7860320",-087.6253618,"17031834500",G17031834500,17,1664,1765,1748
591,"17","031","836000","17031836000","8360",Census Tract 8360,G5020,S,505740,0,"+41.8140036",-087.6116844,"17031836000",G17031836000,62,2095,2338,2276
592,"17","031","836200","17031836200","8362",Census Tract 8362,G5020,S,813762,0,"+41.7904693",-087.6012849,"17031836200",G17031836200,1086,116,2178,1092
594,"17","031","834400","17031834400","8344",Census Tract 8344,G5020,S,586494,0,"+41.7769504",-087.5963030,"17031834400",G17031834400,163,3320,3765,3602
595,"17","031","834300","17031834300","8343",Census Tract 8343,G5020,S,1911637,0,"+41.7458348",-087.5917880,"17031834300",G17031834300,35,5859,6240,6205
778,"17","031","710300","17031710300","7103",Census Tract 7103,G5020,S,327581,0,"+41.7540485",-087.6611057,"17031710300",G17031710300,2,1286,1424,1422
799,"17","031","600700","17031600700","6007",Census Tract 6007,G5020,S,447251,39858,"+41.8407816",-087.6605430,"17031600700",G17031600700,638,86,2591,1953
800,"17","031","600900","17031600900","6009",Census Tract 6009,G5020,S,382321,0,"+41.8365130",-087.6531428,"17031600900",G17031600900,1120,287,3682,2562
801,"17","031","821200","17031821200","8212",Census Tract 8212,G5020,S,2943051,0,"+41.6683914",-087.6722979,"17031821200",G17031821200,569,2456,5641,5072
