GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C9F001,C9G001,C9G002,C9G003,C9G004
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,"04",,,,,,,,"CLAY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",11424,2268,4,0,0,1,0,0,0,3,0,0,0,0,3,94,57,36,0,1
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,"04",,,,,,,,"CLEBURNE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",11925,647,4,0,0,5,0,6,1,0,0,0,0,0,7,71,69,0,1,1
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,"09",,,,,,,,"COFFEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",31636,6532,63,4,0,30,4,8,87,10,26,4,0,0,129,349,213,72,7,57
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,"01",,,,,,,,"COLBERT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",45209,9146,68,0,0,3,5,6,3,38,5,3,0,0,33,280,182,78,4,16
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,"09",,,,,,,,"CONECUH COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",9311,6534,26,0,0,2,1,1,1,0,0,6,0,0,2,195,56,137,0,2
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,"04",,,,,,,,"COOSA COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",7411,3950,8,0,0,0,0,0,0,0,0,1,0,0,7,113,19,93,0,1
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,"09",,,,,,,,"COVINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",31918,4835,35,0,0,7,2,1,10,19,4,0,1,0,18,258,195,42,12,9
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,"09",,,,,,,,"CRENSHAW COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",10372,3693,25,0,0,0,0,0,1,6,0,1,3,0,9,128,31,88,1,8
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,"02",,,,,,,,"CULLMAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",60928,528,69,2,0,7,10,4,10,14,21,10,0,3,36,310,278,15,4,13
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,"09",,,,,,,,"DALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",38744,7828,197,1,0,113,8,49,227,21,48,27,27,11,520,1073,570,101,43,359
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,"06",,,,,,,,"DALLAS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24205,29488,37,0,0,3,1,2,8,19,0,18,0,0,200,594,106,466,3,19
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,"02",,,,,,,,"DE KALB COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",52538,939,90,0,0,4,2,10,3,17,2,6,0,0,47,281,230,12,17,22
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,"05",,,,,,,,"ELMORE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",33585,9655,28,0,1,17,8,9,7,8,5,4,0,0,63,346,151,169,10,16
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,"08",,,,,,,,"ESCAMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",26056,11376,951,0,0,4,3,3,5,6,2,9,1,0,24,280,131,139,2,8
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,"03",,,,,,,,"ETOWAH COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",88806,13809,121,2,0,48,14,11,25,35,16,5,0,0,165,523,365,90,8,60
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,"05",,,,,,,,"FAYETTE COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",16378,2396,7,0,0,1,5,1,2,4,2,2,0,0,11,115,93,15,0,7
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,"05",,,,,,,,"FRANKLIN COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",26991,1301,22,0,0,2,0,17,1,8,0,0,0,0,8,183,152,23,3,5
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,"09",,,,,,,,"GENEVA COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",21019,3082,100,0,0,3,0,0,2,5,1,1,0,2,38,210,118,61,0,31
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,"06",,,,,,,,"GREENE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",2405,8596,2,0,0,4,0,0,0,0,0,1,0,0,13,175,16,159,0,0
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,"06",,,,,,,,"HALE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",5774,9799,10,7,0,3,0,3,0,0,0,6,0,0,2,308,29,278,0,1
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,"09",,,,,,,,"HENRY COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",9473,5799,24,0,0,0,0,0,2,2,0,0,0,0,2,136,32,103,0,1
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,,"09",,,,,,,,"HOUSTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",57402,16611,233,1,0,51,25,2,18,28,157,0,0,0,104,578,333,185,8,52
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,,"02",,,,,,,,"JACKSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",48990,2150,188,1,0,9,5,2,3,21,0,2,0,0,36,340,303,10,3,24
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,,"A",,,,,,,,"JEFFERSON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",444426,223759,520,8,7,227,379,131,226,423,206,110,6,7,889,4475,2233,1971,58,213
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,,"05",,,,,,,,"LAMAR COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",14457,1975,11,0,0,1,0,2,3,1,0,0,1,0,2,156,117,38,0,1
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,,"01",,,,,,,,"LAUDERDALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",72375,7845,99,1,0,16,41,11,26,46,5,5,0,0,76,520,391,89,12,28
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,,"01",,,,,,,,"LAWRENCE COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",25013,5074,40,0,0,5,0,1,1,5,0,1,0,0,30,190,117,66,0,7
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,,"04",,,,,,,,"LEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",56869,18652,104,2,0,38,144,25,48,132,11,9,1,1,247,791,359,351,19,62
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,,"01",,,,,,,,"LIMESTONE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",39351,6539,36,0,0,7,4,1,7,21,0,2,3,0,34,283,200,60,5,18
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,,"06",,,,,,,,"LOWNDES COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",3304,9937,2,0,0,3,1,0,0,1,0,0,0,0,5,213,13,195,1,4
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,,"05",,,,,,,,"MACON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",4034,22579,25,0,1,4,6,4,1,48,0,9,0,0,118,345,36,283,1,25
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,,"F",,,,,,,,"MADISON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",154782,39069,439,0,4,183,286,77,410,322,149,43,37,1,1164,2086,1284,348,82,372
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,,"06",,,,,,,,"MARENGO COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",11663,13346,11,0,0,4,4,5,0,2,0,4,0,0,8,546,54,487,1,4
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,,"05",,,,,,,,"MARION COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",29250,701,35,0,0,6,18,2,0,8,1,0,0,0,20,174,160,1,3,10
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,,"02",,,,,,,,"MARSHALL COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",64444,1016,62,0,0,8,12,7,10,23,4,0,0,2,34,359,335,2,7,15
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,,"D",,,,,,,,"MOBILE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",246693,114787,1148,6,5,144,148,208,102,159,412,63,5,9,1091,3830,2226,1166,75,363
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,,"09",,,,,,,,"MONROE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",12749,9742,119,0,0,0,0,0,3,26,0,2,0,0,10,177,59,115,0,3
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,,"C",,,,,,,,"MONTGOMERY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",117895,77614,205,0,1,136,90,120,142,134,73,25,7,0,596,1824,797,812,38,177
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,,"01",,,,,,,,"MORGAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",81131,8816,98,2,1,14,19,6,13,41,2,7,1,0,80,571,408,123,8,32
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,,"06",,,,,,,,"PERRY COUNTY","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0",5971,9019,7,0,0,3,1,1,2,1,0,3,0,0,4,171,18,150,0,3
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,,"05",,,,,,,,"PICKENS COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",12451,8978,12,0,0,7,1,3,0,8,0,3,0,0,18,178,50,119,1,8
"G0101090","1980","A","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,,"09",,,,,,,,"PIKE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",18109,9825,53,0,3,4,11,7,4,1,0,9,2,0,22,263,117,131,1,14
"G0101110","1980","A","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,,"04",,,,,,,,"RANDOLPH COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",15173,4869,10,0,0,3,0,2,1,6,0,0,0,0,11,137,64,70,2,1
"G0101130","1980","A","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,,"B",,,,,,,,"RUSSELL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",28544,18656,47,1,0,19,2,17,12,4,7,7,4,0,36,455,143,292,6,14
"G0101150","1980","A","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,,"03",,,,,,,,"ST. CLAIR COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",36935,4128,51,1,0,8,8,6,3,6,1,1,9,1,47,283,180,71,5,27
"G0101170","1980","A","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,,,,,"03",,,,,,,,"SHELBY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",58982,6947,106,1,0,23,52,14,14,58,16,4,1,0,80,423,252,143,1,27
"G0101190","1980","A","3","6","Alabama","01",,"Sumter","119",,,,,,,,,,,,,"06",,,,,,,,"SUMTER COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",5150,11711,5,0,0,2,4,1,0,5,4,4,0,2,20,212,26,185,0,1
"G0101210","1980","A","3","6","Alabama","01",,"Talladega","121",,,,,,,,,,,,,"03",,,,,,,,"TALLADEGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",50922,22745,40,0,1,13,15,7,11,22,1,2,5,1,41,596,240,338,9,9
"G0101230","1980","A","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,,,,,"04",,,,,,,,"TALLAPOOSA COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",28096,10451,13,0,0,2,1,3,1,19,0,5,0,0,85,235,118,82,2,33
"G0101250","1980","A","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,,,,,"E",,,,,,,,"TUSCALOOSA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",99335,37405,101,3,3,44,106,53,69,83,40,12,0,3,284,1217,608,468,16,125
"G0101270","1980","A","3","6","Alabama","01","1000","Walker","127",,,,,,,,,,,,,"03",,,,,,,,"WALKER COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",63547,4839,98,0,1,8,4,3,16,24,44,11,0,1,64,350,243,82,1,24
"G0101290","1980","A","3","6","Alabama","01",,"Washington","129",,,,,,,,,,,,,"07",,,,,,,,"WASHINGTON COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",11280,4726,779,0,0,3,0,2,0,2,1,1,0,0,27,137,48,85,1,3
"G0101310","1980","A","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,,,,,"06",,,,,,,,"WILCOX COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",4590,10151,3,0,0,1,0,3,0,1,0,2,0,0,4,361,27,331,0,3
"G0101330","1980","A","3","6","Alabama","01",,"Winston","133",,,,,,,,,,,,,"05",,,,,,,,"WINSTON COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",21818,69,27,0,0,7,0,3,10,8,0,1,0,0,10,122,119,0,1,2
"G0200100","1980","S","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,,,,,"01",,,,,,,,"ALEUTIAN ISLANDS CENSUS AREA","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",4775,329,92,27,1815,32,27,354,33,3,85,25,20,1,150,297,136,6,80,75
"G0200200","1980","B","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,,,,,"01",,,,,,,,"ANCHORAGE BOROUGH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",148650,9258,3565,3856,1532,1053,328,966,1051,144,131,242,65,63,3527,5222,2790,144,485,1803
"G0200500","1980","S","4","9","Alaska","02",,"Bethel","050",,,,,,,,,,,,,"01",,,,,,,,"BETHEL CENSUS AREA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",1661,26,272,8944,31,6,4,12,2,0,0,0,0,6,35,61,25,0,25,11
"G0200600","1980","A","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,,,,,"01",,,,,,,,"BRISTOL BAY BOROUGH","0","0","0","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","1","1","0",660,47,11,44,305,0,1,1,0,0,0,1,2,0,22,30,7,1,3,19
"G0200700","1980","S","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,,,,,"01",,,,,,,,"DILLINGHAM CENSUS AREA","0","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",1066,1,267,2028,1225,1,1,3,0,0,0,1,0,1,22,23,15,0,7,1
"G0200900","1980","A","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,,,,,"01",,,,,,,,"FAIRBANKS NORTH STAR BOROUGH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46106,3006,1839,1073,75,196,80,87,246,56,60,59,19,13,1068,1546,885,53,85,523
"G0201000","1980","A","4","9","Alaska","02",,"Haines","100",,,,,,,,,,,,,"01",,,,,,,,"HAINES BOROUGH","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0",1430,3,205,4,5,1,0,2,1,1,0,0,0,0,28,13,13,0,0,0
"G0201100","1980","B","4","9","Alaska","02",,"Juneau","110",,,,,,,,,,,,,"01",,,,,,,,"JUNEAU BOROUGH","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",16459,142,2010,115,65,41,29,374,10,25,14,6,0,5,233,383,208,2,94,79
"G0201220","1980","A","4","9","Alaska","02",,"Kenai Peninsula","122",,,,,,,,,,,,,"01",,,,,,,,"KENAI PENINSULA BOROUGH","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",23099,41,812,337,589,54,10,81,32,2,9,9,1,2,204,358,240,1,39,78
"G0201300","1980","A","4","9","Alaska","02",,"Ketchikan Gateway","130",,,,,,,,,,,,,"01",,,,,,,,"KETCHIKAN GATEWAY BOROUGH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",9479,46,1314,40,52,26,6,217,5,1,15,6,5,4,100,206,84,0,98,24
"G0201400","1980","S","4","9","Alaska","02",,"Kobuk","140",,,,,,,,,,,,,"01",,,,,,,,"KOBUK CENSUS AREA","0","0","1","0","1","0","1","1","0","0","0","1","0","1","1","0","0","0","1","1","0",683,7,35,4075,3,3,0,0,1,0,0,0,0,2,22,15,7,1,6,1
"G0201500","1980","A","4","9","Alaska","02",,"Kodiak Island","150",,,,,,,,,,,,,"01",,,,,,,,"KODIAK ISLAND BOROUGH","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",7046,72,106,68,1710,33,9,624,61,1,19,15,9,24,142,304,142,2,82,78
"G0201700","1980","A","4","9","Alaska","02",,"Matanuska-Susitna","170",,,,,,,,,,,,,"01",,,,,,,,"MATANUSKA-SUSITNA BOROUGH","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",16844,90,328,232,128,15,3,14,14,2,0,8,3,2,133,224,151,2,21,50
