fid,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,JOIN_KEY,STATEFP,COUNTYFP,GEOID,GISJOIN,WHITE,BLACK,TOTPOP,POC
942,"17","031","340400","17031340400","3404",Census Tract 3404,G5020,S,290257,0,"+41.8418850",-087.6320352,"17031340400","17","031","17031340400",G17031340400,284,33,1900,1616
943,"17","031","340500","17031340500","3405",Census Tract 3405,G5020,S,435449,0,"+41.8345181",-087.6329169,"17031340500","17","031","17031340500",G17031340500,685,211,1544,859
944,"17","031","340600","17031340600","3406",Census Tract 3406,G5020,S,472399,0,"+41.8274177",-087.6325398,"17031340600","17","031","17031340600",G17031340600,1,899,907,906
945,"17","031","350400","17031350400","3504",Census Tract 3504,G5020,S,201455,0,"+41.8419291",-087.6283695,"17031350400","17","031","17031350400",G17031350400,0,373,389,389
946,"17","031","750500","17031750500","7505",Census Tract 7505,G5020,S,2636337,0,"+41.6846159",-087.6712333,"17031750500","17","031","17031750500",G17031750500,1096,4569,5936,4840
947,"17","031","750400","17031750400","7504",Census Tract 7504,G5020,S,995558,0,"+41.6856567",-087.6850711,"17031750400","17","031","17031750400",G17031750400,1922,868,3009,1087
948,"17","031","750200","17031750200","7502",Census Tract 7502,G5020,S,1310962,0,"+41.6956650",-087.6714251,"17031750200","17","031","17031750200",G17031750200,1206,1809,3227,2021
957,"17","031","420600","17031420600","4206",Census Tract 4206,G5020,S,243609,0,"+41.7830135",-087.6132777,"17031420600","17","031","17031420600",G17031420600,22,2140,2219,2197
958,"17","031","420700","17031420700","4207",Census Tract 4207,G5020,S,650530,0,"+41.7766914",-087.6106933,"17031420700","17","031","17031420700",G17031420700,12,3186,3261,3249
959,"17","031","420800","17031420800","4208",Census Tract 4208,G5020,S,347604,0,"+41.7769097",-087.6032569,"17031420800","17","031","17031420800",G17031420800,40,2115,2213,2173
960,"17","031","421200","17031421200","4212",Census Tract 4212,G5020,S,328222,0,"+41.7706569",-087.6089660,"17031421200","17","031","17031421200",G17031421200,3,1351,1380,1377
961,"17","031","430200","17031430200","4302",Census Tract 4302,G5020,S,666844,0,"+41.7697314",-087.5813483,"17031430200","17","031","17031430200",G17031430200,92,4384,4680,4588
962,"17","031","660800","17031660800","6608",Census Tract 6608,G5020,S,655389,0,"+41.7736413",-087.6932656,"17031660800","17","031","17031660800",G17031660800,268,3579,5865,5597
963,"17","031","660900","17031660900","6609",Census Tract 6609,G5020,S,1811424,161563,"+41.7671622",-087.6993933,"17031660900","17","031","17031660900",G17031660900,200,3527,4232,4032
964,"17","031","661000","17031661000","6610",Census Tract 6610,G5020,S,1118650,0,"+41.7618185",-087.6850447,"17031661000","17","031","17031661000",G17031661000,117,5080,5706,5589
965,"17","031","661100","17031661100","6611",Census Tract 6611,G5020,S,1299749,0,"+41.7607874",-087.7026881,"17031661100","17","031","17031661100",G17031661100,471,2910,6542,6071
966,"17","031","670100","17031670100","6701",Census Tract 6701,G5020,S,326893,0,"+41.7904937",-087.6572084,"17031670100","17","031","17031670100",G17031670100,9,1453,1516,1507
967,"17","031","670200","17031670200","6702",Census Tract 6702,G5020,S,326541,0,"+41.7904247",-087.6620626,"17031670200","17","031","17031670200",G17031670200,0,1327,1380,1380
968,"17","031","670300","17031670300","6703",Census Tract 6703,G5020,S,326332,0,"+41.7903576",-087.6669167,"17031670300","17","031","17031670300",G17031670300,14,1317,1411,1397
969,"17","031","670400","17031670400","6704",Census Tract 6704,G5020,S,326418,0,"+41.7902996",-087.6717698,"17031670400","17","031","17031670400",G17031670400,6,1809,1956,1950
